number,value,datetime_start,datetime_complete,duration,params_balancing,params_contrast_method,params_feature_selection,params_learning_rate,params_n_estimators,params_number_features,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.23686228995891548,2022-10-19 10:11:57.174939,2022-10-19 10:12:11.798904,0 days 00:00:14.623965,no,Backward Difference,BorutaShap,0.2269400239799676,100,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=AdaBoostClassifier(learning_rate=0.2269400239799676,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",no,no,Backward Difference,,BorutaShap,,no,0.2633955505279035,0.25422621157064373,0.13068627507784394,0.4612505565631855,0.2633955505279035,0.25361077111383107,0.23686228995891548,0.06304392167329755,0.29434110930274615,0.25361077111383107,COMPLETE
1,0.2536915245375768,2022-10-19 10:12:11.946645,2022-10-19 10:12:14.947531,0 days 00:00:03.000886,no,Polynomial,MutualInformation,0.2738204573358964,100,19.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=AdaBoostClassifier(learning_rate=0.2738204573358964,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=19))])",no,no,Polynomial,,MutualInformation,19.0,no,0.3093707038064559,0.31941825936674734,0.14688313871141923,0.43866358407229783,0.3093707038064559,0.26200870393036857,0.2536915245375768,0.09613114262175941,0.3403898849688323,0.26200870393036857,COMPLETE
2,0.23406241543767203,2022-10-19 10:12:15.095581,2022-10-19 10:12:17.651661,0 days 00:00:02.556080,no,Polynomial,ANOVA,0.2545552888657,100,4.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=AdaBoostClassifier(learning_rate=0.2545552888657,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=4))])",no,no,Polynomial,,ANOVA,4.0,no,0.2976950147213386,0.30783559643677405,0.1638761075751399,0.46938221106970185,0.2976950147213386,0.249519092736147,0.23406241543767203,0.04331057522435583,0.2285672879156089,0.249519092736147,COMPLETE
3,0.22859158516980416,2022-10-19 10:12:17.791854,2022-10-19 10:12:23.321206,0 days 00:00:05.529352,no,Sum,FeatureWiz,0.0477313683446871,100,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=AdaBoostClassifier(learning_rate=0.0477313683446871,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",no,no,Sum,,FeatureWiz,,no,0.2552083333333333,0.2384765917911482,0.03578105866337374,0.29403184950492756,0.2552083333333333,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
4,0.16409905785802487,2022-10-19 10:12:23.484097,2022-10-19 10:13:16.836628,0 days 00:00:53.352531,smoteen,Helmert,BorutaShap,0.043534827307562314,100,,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in...
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=AdaBoostClassifier(learning_rate=0.043534827307562314,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",smoteen,no,Helmert,,BorutaShap,,no,0.4102444855204678,0.23076044979056684,0.08141774053351503,0.33907947720839543,0.4102444855204678,0.30494138824667183,0.16409905785802487,0.024780171061992318,0.2550580998231584,0.30494138824667183,COMPLETE
5,0.2451912289671848,2022-10-19 10:13:16.992453,2022-10-19 10:13:24.483877,0 days 00:00:07.491424,smoteen,Backward Difference,FeatureWiz,0.03333504335977492,100,,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=AdaBoostClassifier(learning_rate=0.03333504335977492,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",smoteen,no,Backward Difference,,FeatureWiz,,no,0.4307140163394488,0.41020082872239105,0.1322653348375021,0.5692133981349418,0.4307140163394488,0.2649347582997114,0.2451912289671848,0.027424752207930985,0.25417736073909253,0.2649347582997114,COMPLETE
6,0.25784289981768854,2022-10-19 10:13:24.641264,2022-10-19 10:13:37.351812,0 days 00:00:12.710548,smoteen,Sum,FeatureWiz,0.8509727642274396,100,,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=AdaBoostClassifier(learning_rate=0.8509727642274396,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",smoteen,no,Sum,,FeatureWiz,,no,0.4940007583357145,0.4704313418571486,0.24681152697575426,0.5261793480229332,0.4940007583357145,0.25575473729543496,0.25784289981768854,-0.014876616127187076,0.2832721942732694,0.25575473729543496,COMPLETE
7,0.20656863780070522,2022-10-19 10:13:37.507540,2022-10-19 10:13:42.004082,0 days 00:00:04.496542,smoteen,Backward Difference,ANOVA,0.6664753498582585,100,13.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=AdaBoostClassifier(learning_rate=0.6664753498582585,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=13))])",smoteen,no,Backward Difference,,ANOVA,13.0,no,0.32352136266882736,0.22659836621734827,0.05981454046748985,0.27643122516596,0.32352136266882736,0.2792142662858697,0.20656863780070522,0.03930437478292488,0.26363190821917354,0.2792142662858697,COMPLETE
8,0.053086468589128466,2022-10-19 10:13:42.158132,2022-10-19 10:13:46.841055,0 days 00:00:04.682923,smoteen,Backward Difference,ANOVA,0.021077832317654057,100,16.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=AdaBoostClassifier(learning_rate=0.021077832317654057,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=16))])",smoteen,no,Backward Difference,,ANOVA,16.0,no,0.3750907681200089,0.1592284572850549,0.059160748690556965,0.15238052907658237,0.3750907681200089,0.2778096416254311,0.053086468589128466,0.007755068170131568,0.02951226404858243,0.2778096416254311,COMPLETE
9,0.20001193425561511,2022-10-19 10:13:47.003921,2022-10-19 10:13:51.510417,0 days 00:00:04.506496,smoteen,Helmert,ANOVA,0.4429200379975591,100,14.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=AdaBoostClassifier(learning_rate=0.4429200379975591,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=14))])",smoteen,no,Helmert,,ANOVA,14.0,no,0.3117789140249791,0.2092930148727589,0.06942955631699703,0.2608808610928116,0.3117789140249791,0.2717726702630823,0.20001193425561511,0.0260435266447606,0.2522222739855245,0.2717726702630823,COMPLETE
