name,non-nulls,type
_id,960,int64
Timestamp,960,object
Read_Info_Sheet,960,object
School_Health_Records,960,object
Study_Year,960,object
Gender,960,object
Year,960,int64
Month,960,object
Day,960,int64
Breakfast_ytd,960,object
Fruitveg_ytd,960,object
Brush_teeth_ytd,960,int64
Sleeptime_ytd,960,object
Awaketime_today,960,object
Safety_toplay_scale,959,float64
Doingwell_schoolwork,960,object
Lots_of_choices_important,960,object
Lots_of_things_good_at,960,object
Health_scale,960,int64
School_scale,960,int64
Family_scale,960,int64
Friends_scale,960,int64
Looks_scale,960,int64
Life_scale,960,int64
Felt_Lonely(Emotional_Wellbeing),960,object
Cry_a_lot(Emotional_Wellbeing),960,object
Unhappy(Emotional_Wellbeing),960,object
Nobody_likes_me(Emotional_Wellbeing),960,object
Worry_lots(Emotional_Wellbeing),960,object
Trouble_sleep(Emotional_Wellbeing),960,object
Wakeup_night(Emotional_Wellbeing),960,object
Shy(Emotional_Wellbeing),960,object
Scared(Emotional_Wellbeing),960,object
Worry_at_school(Emotional_Wellbeing),960,object
Angry(Behaviour_Wellbeing),960,object
Lose_temper(Behaviour_Wellbeing),960,object
Hit_when_angry(Behaviour_Wellbeing),960,object
Hurt_people(Behaviour_Wellbeing),960,object
Calm(Behaviour_Wellbeing),960,object
Break_things_purposefully(Behaviour_Wellbeing),960,object
LSOA_Code,960,object
LSOA_Name(English),960,object
LSOA_Name(Cymraeg),960,object
WIMD_2019_Rank,960,object
WIMD_2019_Decile,960,object
WIMD_2019_Quintile,960,object
WIMD_2019_Quartile,960,object
ID.1,960,int64
Going_school,958,object
Other_children_inhouse,958,object
Number_people_household,958,object
Easywalk_topark,958,object
Easywalk_somewhere,958,object
Garden,958,object
Outdoorplay_freq,958,object
Enoughtime_toplay,958,object
Type_of_play_places,958,object
Play_inall_places,958,object
Homespace_relax,958,object
Feel_partof_community,958,object
Keep_in_touch_family_outside_household,958,object
Keep_in_touch_friends,958,object
Method_of_keepintouch,927,object
Sports_in_week,957,object
Internet_in_week,957,object
Tired_in_week,957,object
Concentrate_in_week,957,object
Softdrink_in_week,957,object
Sugarsnack_in_week,957,object
Takeawayfood_in_week,957,object
