,count,mean,std,min,25%,50%,75%,max
_id,960.0,491.78333333333336,283.3441901046164,1.0,248.75,489.5,734.25,986.0
Year,960.0,2009.8885416666667,1.1219090120957314,2007.0,2009.0,2010.0,2011.0,2012.0
Day,960.0,15.922916666666667,8.752195960601956,1.0,8.0,16.0,24.0,31.0
Brush_teeth_ytd,960.0,1.6229166666666666,0.5662527368360163,0.0,1.0,2.0,2.0,3.0
Safety_toplay_scale,959.0,8.287799791449427,2.3996710059735658,0.0,8.0,9.0,10.0,10.0
Health_scale,960.0,8.570833333333333,1.663941115171576,0.0,8.0,9.0,10.0,10.0
School_scale,960.0,8.177083333333334,2.2460475848065093,0.0,7.0,9.0,10.0,10.0
Family_scale,960.0,9.502083333333333,1.1776489158764587,0.0,10.0,10.0,10.0,10.0
Friends_scale,960.0,8.725,1.9297895199323878,0.0,8.0,10.0,10.0,10.0
Looks_scale,960.0,8.394791666666666,2.092584344071341,0.0,7.0,9.0,10.0,10.0
Life_scale,960.0,8.991666666666667,1.553338539630056,1.0,9.0,10.0,10.0,10.0
ID.1,960.0,491.78333333333336,283.3441901046164,1.0,248.75,489.5,734.25,986.0
