,LSOA_Name(Cymraeg)
Ynys-ddu 1,26
Beechwood 2,19
St. Kingsmark 2,14
Cefn 1,14
Bargod 4,13
Llandeilo Ferwallt 1,12
Pontarddulais 1,11
Caer-went,10
Ynys-ddu 2,10
not found,10
Gilfach,9
Aberbargod 2,9
Aberbargod 1,9
Pontlotyn,9
Hafren 1,9
Sain Silian 6,9
Langstone 1,9
Cefn 2,9
Ynysawdre 1,9
Llandeilo Ferwallt 2,9
Plas Madoc,8
Llangollen Wledig,8
Sain Silian 1,8
Alway 6,8
Notais 2,7
Llanandras 1,7
Llangollen 2,7
Ty Du 6,7
Llanfihangel Ysgeifiog,7
Porth Sgiwed,7
West Cross 2,6
Victoria 3,6
Moria 1,6
Beechwood 1,6
Beechwood 4,6
St. Kingsmark 1,6
Penfro: Santes Fair Gogledd,6
Ynysawdre 2,6
Abercynffig,6
Sain Silian 3,6
Betws (Casnewydd) 1,6
Coed Efa,5
Sain Silian 5,5
Pontnewydd 1,5
Fairwater (Tor-faen) 1,5
Liswerry 7,5
Rest Bay 1,5
Rhaglan,5
Corneli 3,5
Llandysilio,5
Sgeti 6,5
Felin-fâch,5
Bronington 1,5
Ysgir,4
Sgeti 8,4
Trawsfynydd,4
Notais 1,4
Castell Cil-y-coed 1,4
Tregwyr 3,4
Llanddewi,4
Tre Caerfyrddin Gorllewin 1,4
Ystumllwynarth 3,4
Bargod 2,4
Betws yn Rhos,4
Glynebwy Gogledd 2,4
Tre Caerfyrddin De 2,4
Sain Silian 2,4
Bryn-coch,4
Sgeti 2,4
Pen-yr-heol (Caerffili) 5,4
St. Dials 1,4
Cefn Cribwr,4
Liswerry 4,4
Liswerry 6,4
Llan-wern 2,4
Greenmeadow 3,4
Cilâ Gogledd 2,4
Drenewydd Gelli-farch,4
Liswerry 3,3
Pontarddulais 2,3
Corneli 2,3
Porthcawl Gorllewin Canol 2,3
Corneli 4,3
Liswerry 2,3
Yr Orsedd 2,3
Doc Penfro: Llanion 1,3
Rhiwcynon,3
Treflan Talacharn 1,3
Clydach 2,3
Sgeti 1,3
Marchwiel 1,3
Fairwater (Tor-faen) 2,3
Fairwood 1,3
Gwyr (Abertawe) 2,3
Felindre 1,3
Newton (Abertawe) 2,3
Penprysg 2,3
Langstone 3,3
Caerau (Pen-y-bont ar Ogwr) 4,3
Betws (Casnewydd) 2,3
Llanbadarn Fawr,3
Tre Caerfyrddin Gorllewin 3,3
Morfa 1,3
Tregwyr 1,3
Llanddulas,3
Porthcawl Dwyrain Canol 2,3
Ringland 3,3
Coed-ffranc Canol 2,2
Pontarddulais 3,2
Sanclêr 1,2
Llan-wern 1,2
Arberth Gwledig,2
Y Cocyd 2,2
Llandinam,2
Townhill 4,2
Llangynnwr 1,2
St. Mary's,2
Bargod 3,2
Betws (Casnewydd) 6,2
Stow Hill 3,2
St. Christopher's,2
Betws (Casnewydd) 4,2
St. Arvans,2
Rhiwabon 1,2
Hengoed (Caerffili) 3,2
Llansilin,2
Hengastell 1,2
Devauden,2
Snatchwood,2
Morfa 3,2
Tredegar Canol a Gorllewin 3,2
Eirias 1,2
Rest Bay 2,2
Trecelyn 3,2
Gele 3,2
Llanbadog,2
Trecelyn 4,2
Beechwood 5,2
Y Pîl 4,2
Wyesham,2
Twyn Carno 2,2
Prestatyn Dwyrain 1,2
Tredegar Canol a Gorllewin 2,2
Y Cocyd 3,2
Tredegar Canol a Gorllewin 4,2
Treletert,2
Cas-wis,2
Bargod 1,2
Penlle'r-gaer 2,2
Tal-y-bont ar Wysg,2
Y Mynydd Bychan 5,2
Rhos 1,2
Y Cocyd 1,2
Sirhywi 2,2
Maerun 3,2
Llanddewi a Green Lane 2,2
Aberdulais,2
Tre Caerfyrddin Gorllewin 2,2
Pen-y-groes (Sir Gaerfyrddin) 1,2
Pilgwenlli 2,2
Liswerry 5,2
Pont-y-clun 4,2
Y Cocyd 4,2
Morgan Jones 4,2
Victoria 1,2
Sain Silian 4,2
Alway 2,2
Malpas 2,2
Newton (Abertawe) 1,2
Y Drenewydd De,2
Tre Caerfyrddin Gogledd 2,2
Fairwater (Tor-faen) 4,2
Ystumllwynarth 1,2
Pont-y-clun 3,2
Two Locks 3,2
Abersychan 1,2
Llanandras 2,2
Pen-yr-heol (Caerffili) 3,2
Two Locks 2,2
Llansamlet 7,1
Bracla 2,1
Y Dref 4,1
Caerau (Caerdydd) 3,1
Margam 2,1
Trefnant,1
Cynwyl Elfed 1,1
Y Maerdy 2,1
Bracla 5,1
Treforys 9,1
Trelái 9,1
Parc 2,1
West End,1
Bigyn 4,1
Prestatyn Gogledd 2,1
Burton,1
Y Graig (Casnewydd) 2,1
St John 2,1
Sant Iago 3,1
Victoria 4,1
Ringland 4,1
Ty Du 3,1
Hengoed (Caerffili) 2,1
Llanyrafon Gogledd,1
Hendre (Pen-y-bont ar Ogwr) 1,1
Pen-dre,1
London Road,1
Gele 1,1
Llannerch-y-medd,1
Bryntirion Laleston a Merthyr Mawr 6,1
Bryntirion Laleston a Merthyr Mawr 5,1
Betws (Pen-y-bont ar Ogwr),1
Coed-ffranc Gorllewin,1
Maerun 2,1
Bonymaen 4,1
Cimla 2,1
Pontnewydd 2,1
Marchwiel 2,1
Y Cocyd 8,1
Tredegar Newydd 2,1
Llangrallo Isaf,1
Caerau (Pen-y-bont ar Ogwr) 1,1
Hengastell 2,1
Deganwy 2,1
Caerllion 5,1
Trowbridge 2,1
Maesteg Gorllewin 1,1
Crymlyn 3,1
Rhisga Dwyrain 3,1
Rhosyr,1
Coety,1
Cendl 2,1
Bonymaen 1,1
Prestatyn Gogledd 1,1
Maesteg Dwyrain 2,1
St. Thomas 1,1
Abercarn 2,1
Tonyrefail Gorllewin 2,1
Pontardawe 1,1
Newton (Pen-y-bont ar Ogwr) 1,1
Gabalfa 2,1
Trimsaran 2,1
Prestatyn De Orllewin 2,1
Catwg Sant 3,1
Twyn Carno 1,1
Hengoed (Sir Gaerfyrddin) 1,1
Brynna 2,1
Caerau (Pen-y-bont ar Ogwr) 5,1
Treforys 7,1
Abersychan 5,1
Glynebwy Gogledd 1,1
Hafren 2,1
Llandeilo Gresynni,1
Bracla 6,1
Y Trallwng Gungrog 2,1
Sarn 1,1
Rhisga Gorllewin 1,1
Uplands 6,1
Llandrindod Gogledd,1
Pilgwenlli 3,1
Rhaeadr Gwy,1
Rogiet,1
Uplands 3,1
Mayals 2,1
Dynfant 1,1
Treforys 1,1
Townhill 6,1
Uplands 5,1
Glanyrafon 6,1
Castell 8,1
Pennard 1,1
Pen-twyn 1,1
Rhisga Dwyrain 2,1
West Cross 1,1
Caerllion 1,1
Victoria 2,1
Pontybrenin 2,1
Castell 4,1
Beechwood 3,1
Uplands 2,1
Penderi 1,1
Castell 2 De,1
Casllwchwr Uchaf 2,1
Crucornau Fawr,1
Llandybïe 1,1
Llangyfelach 3,1
Glyn-nedd 2,1
Pontardawe 2,1
Caerllion 4,1
Llanbradach 2,1
Llanfihangel Troddi,1
Y Gaer 6,1
Ystumllwynarth 2,1
Crymlyn 1,1
Liswerry 1,1
Catwg Sant 4,1
Croesyceiliog Gogledd 2,1
Sgeti 4,1
Clydach 3,1
Llangynidr,1
Morgan Jones 2,1
Pembre 1,1
Sant Martin 5,1
St. Thomas 4,1
Pen-yr-heol (Caerffili) 2,1
St. Dials 2,1
Cefn Fforest 2,1
Mill 2,1
Langstone 2,1
Llanddarog,1
Two Locks 1,1
Ringland 1,1
Greenmeadow 2,1
Caerllion 2,1
Fairwater (Tor-faen) 3,1
Llandaf 1,1
Sandfields Dwyrain 3,1
Llandrinio,1
Abersychan 3,1
Penderi 7,1
Baglan 2,1
Caerllion 6,1
Castell 1,1
Neyland Gorllewin,1
Doc Penfro: Llanion 2,1
Yr Orsedd 1,1
Neyland Dwyrain,1
Doc Penfro: Marchnad,1
Pen-clawdd 2,1
Treforys 4,1
Hendre (Pen-y-bont ar Ogwr) 2,1
Treforys 6,1
Townhill 3,1
Lliedi 2,1
Tref-y-clawdd 2,1
Rhiw 1,1
Hengoed 2,1
Glandwr 2,1
Porthcawl Gorllewin Canol 1,1
Llangollen 1,1
Ffordun,1
Llangollen 3,1
Gwersyllt Dwyrain a De 1,1
Bracla 3,1
Sarn 2,1
Cwm Ogwr 1,1
Pontnewynydd,1
Brynceithin,1
Meifod a Llanfihangel,1
Betws (Casnewydd) 3,1
Llansanffraid,1
Amroth,1
St John 1,1
Penyrheol (Abertawe) 3,1
Tregwyr 2,1
Alway 3,1
Yr Eglwys Newydd a Thongwynlais 10,1
Llandaf 3,1
Hendy 1,1
Hendy 2,1
Alway 5,1
Ewlo 1,1
Cynwyl Elfed 2,1
Sanclêr 2,1
Llanfihangel-ar-Arth 1,1
Abergwili,1
Llan-non 3,1
Maes-car/Llywel,1
Uwch Conwy,1
Cil-y-cwm,1
Crymlyn 4,1
Glyn (Sir Gaerfyrddin),1
Tre Caerfyrddin Gogledd 3,1
Botffordd,1
West Cross 4,1
Y Pîl 3,1
Townhill 1,1
Y Cocyd 5,1
Abergwaun Gogledd Orllewin,1
Larkfield,1
