,LSOA_Name(English)
Ynysddu 1,26
Beechwood 2,19
St. Kingsmark 2,14
Cefn 1,14
Bargoed 4,13
Bishopston 1,12
Pontardulais 1,11
Caerwent,10
Ynysddu 2,10
not found,10
Gilfach,9
Aberbargoed 2,9
Aberbargoed 1,9
Pontlottyn,9
Severn 1,9
St. Julians 6,9
Langstone 1,9
Cefn 2,9
Ynysawdre 1,9
Bishopston 2,9
Plas Madoc,8
Llangollen Rural,8
St. Julians 1,8
Alway 6,8
Nottage 2,7
Presteigne 1,7
Llangollen 2,7
Rogerstone 6,7
Llanfihangel Ysgeifiog,7
Portskewett,7
West Cross 2,6
Victoria 3,6
Moriah 1,6
Beechwood 1,6
Beechwood 4,6
St. Kingsmark 1,6
Pembroke: St. Mary North,6
Ynysawdre 2,6
Aberkenfig,6
St. Julians 3,6
Bettws (Newport) 1,6
Coed Eva,5
St. Julians 5,5
Pontnewydd 1,5
Fairwater (Torfaen) 1,5
Liswerry 7,5
Rest Bay 1,5
Raglan,5
Cornelly 3,5
Llandysilio,5
Sketty 6,5
Felin-fâch,5
Bronington 1,5
Yscir,4
Sketty 8,4
Trawsfynydd,4
Nottage 1,4
Caldicot Castle 1,4
Gowerton 3,4
Dewstow,4
Carmarthen Town West 1,4
Oystermouth 3,4
Bargoed 2,4
Betws yn Rhos,4
Ebbw Vale North 2,4
Carmarthen Town South 2,4
St. Julians 2,4
Bryncoch,4
Sketty 2,4
Penyrheol (Caerphilly) 5,4
St. Dials 1,4
Cefn Cribwr,4
Liswerry 4,4
Liswerry 6,4
Llanwern 2,4
Greenmeadow 3,4
Killay North 2,4
Shirenewton,4
Liswerry 3,3
Pontardulais 2,3
Cornelly 2,3
Porthcawl West Central 2,3
Cornelly 4,3
Liswerry 2,3
Rossett 2,3
Pembroke Dock: Llanion 1,3
Rhiwcynon,3
Laugharne Township 1,3
Clydach 2,3
Sketty 1,3
Marchwiel 1,3
Fairwater (Torfaen) 2,3
Fairwood 1,3
Gower (Swansea) 2,3
Felindre 1,3
Newton (Swansea) 2,3
Penprysg 2,3
Langstone 3,3
Caerau (Bridgend) 4,3
Bettws (Newport) 2,3
Llanbadarn Fawr,3
Carmarthen Town West 3,3
Morfa 1,3
Gowerton 1,3
Llanddulas,3
Porthcawl East Central 2,3
Ringland 3,3
Coedffranc Central 2,2
Pontardulais 3,2
St. Clears 1,2
Llanwern 1,2
Narberth Rural,2
Cockett 2,2
Llandinam,2
Townhill 4,2
Llangunnor 1,2
St. Mary's,2
Bargoed 3,2
Bettws (Newport) 6,2
Stow Hill 3,2
St. Christopher's,2
Bettws (Newport) 4,2
St. Arvans,2
Ruabon 1,2
Hengoed (Caerphilly) 3,2
Llansilin,2
Oldcastle 1,2
Devauden,2
Snatchwood,2
Morfa 3,2
Tredegar Central and West 3,2
Eirias 1,2
Rest Bay 2,2
Newbridge 3,2
Gele 3,2
Llanbadoc,2
Newbridge 4,2
Beechwood 5,2
Pyle 4,2
Wyesham,2
Twyn Carno 2,2
Prestatyn East 1,2
Tredegar Central and West 2,2
Cockett 3,2
Tredegar Central and West 4,2
Letterston,2
Wiston,2
Bargoed 1,2
Penllergaer 2,2
Talybont-on-Usk,2
Heath 5,2
Rhos 1,2
Cockett 1,2
Sirhowy 2,2
Marshfield 3,2
Dewstow & Green Lane 2,2
Aberdulais,2
Carmarthen Town West 2,2
Penygroes (Carmarthenshire) 1,2
Pillgwenlly 2,2
Liswerry 5,2
Pont-y-clun 4,2
Cockett 4,2
Morgan Jones 4,2
Victoria 1,2
St. Julians 4,2
Alway 2,2
Malpas 2,2
Newton (Swansea) 1,2
Newtown South,2
Carmarthen Town North 2,2
Fairwater (Torfaen) 4,2
Oystermouth 1,2
Pont-y-clun 3,2
Two Locks 3,2
Abersychan 1,2
Presteigne 2,2
Penyrheol (Caerphilly) 3,2
Two Locks 2,2
Llansamlet 7,1
Brackla 2,1
Town 4,1
Caerau (Cardiff) 3,1
Margam 2,1
Trefnant,1
Cynwyl Elfed 1,1
Mardy 2,1
Brackla 5,1
Morriston 9,1
Ely 9,1
Park 2,1
West End,1
Bigyn 4,1
Prestatyn North 2,1
Burton,1
Graig (Newport) 2,1
St. John 2,1
St. James 3,1
Victoria 4,1
Ringland 4,1
Rogerstone 3,1
Hengoed (Caerphilly) 2,1
Llanyrafon North,1
Hendre (Bridgend) 1,1
Pendre,1
London Road,1
Gele 1,1
Llannerch-y-medd,1
Bryntirion Laleston and Merthyr Mawr 6,1
Bryntirion Laleston and Merthyr Mawr 5,1
Bettws (Bridgend),1
Coedffranc West,1
Marshfield 2,1
Bonymaen 4,1
Cimla 2,1
Pontnewydd 2,1
Marchwiel 2,1
Cockett 8,1
New Tredegar 2,1
Coychurch Lower,1
Caerau (Bridgend) 1,1
Oldcastle 2,1
Deganwy 2,1
Caerleon 5,1
Trowbridge 2,1
Maesteg West 1,1
Crumlin 3,1
Risca East 3,1
Rhosyr,1
Coity,1
Beaufort 2,1
Bonymaen 1,1
Prestatyn North 1,1
Maesteg East 2,1
St. Thomas 1,1
Abercarn 2,1
Tonyrefail West 2,1
Pontardawe 1,1
Newton (Bridgend) 1,1
Gabalfa 2,1
Trimsaran 2,1
Prestatyn South West 2,1
St. Cattwg 3,1
Twyn Carno 1,1
Hengoed (Carmarthenshire) 1,1
Brynna 2,1
Caerau (Bridgend) 5,1
Morriston 7,1
Abersychan 5,1
Ebbw Vale North 1,1
Severn 2,1
Llantilio Crossenny,1
Brackla 6,1
Welshpool Gungrog 2,1
Sarn 1,1
Risca West 1,1
Uplands 6,1
Llandrindod North,1
Pillgwenlly 3,1
Rhayader,1
Rogiet,1
Uplands 3,1
Mayals 2,1
Dunvant 1,1
Morriston 1,1
Townhill 6,1
Uplands 5,1
Riverside 6,1
Castle 8,1
Pennard 1,1
Pentwyn 1,1
Risca East 2,1
West Cross 1,1
Caerleon 1,1
Victoria 2,1
Kingsbridge 2,1
Castle 4,1
Beechwood 3,1
Uplands 2,1
Penderry 1,1
Castle 2 South,1
Upper Loughor 2,1
Crucorney,1
Llandybie 1,1
Llangyfelach 3,1
Glynneath 2,1
Pontardawe 2,1
Caerleon 4,1
Llanbradach 2,1
Mitchel Troy,1
Gaer 6,1
Oystermouth 2,1
Crumlin 1,1
Liswerry 1,1
St. Cattwg 4,1
Croesyceiliog North 2,1
Sketty 4,1
Clydach 3,1
Llangynidr,1
Morgan Jones 2,1
Pembrey 1,1
St. Martins 5,1
St. Thomas 4,1
Penyrheol (Caerphilly) 2,1
St. Dials 2,1
Cefn Fforest 2,1
Mill 2,1
Langstone 2,1
Llanddarog,1
Two Locks 1,1
Ringland 1,1
Greenmeadow 2,1
Caerleon 2,1
Fairwater (Torfaen) 3,1
Llandaff 1,1
Sandfields East 3,1
Llandrinio,1
Abersychan 3,1
Penderry 7,1
Baglan 2,1
Caerleon 6,1
Castle 1,1
Neyland: West,1
Pembroke Dock: Llanion 2,1
Rossett 1,1
Neyland: East,1
Pembroke Dock: Market,1
Penclawdd 2,1
Morriston 4,1
Hendre (Bridgend) 2,1
Morriston 6,1
Townhill 3,1
Lliedi 2,1
Knighton 2,1
Rhiw 1,1
Hengoed 2,1
Landore 2,1
Porthcawl West Central 1,1
Llangollen 1,1
Forden,1
Llangollen 3,1
Gwersyllt East and South 1,1
Brackla 3,1
Sarn 2,1
Ogmore Vale 1,1
Pontnewynydd,1
Bryncethin,1
Meifod & Llanfihangel,1
Bettws (Newport) 3,1
Llansantffraid,1
Amroth,1
St. John 1,1
Penyrheol (Swansea) 3,1
Gowerton 2,1
Alway 3,1
Whitchurch and Tongwynlais 10,1
Llandaff 3,1
Hendy 1,1
Hendy 2,1
Alway 5,1
Ewloe 1,1
Cynwyl Elfed 2,1
St. Clears 2,1
Llanfihangel-ar-Arth 1,1
Abergwili,1
Llannon 3,1
Maescar/Llywel,1
Uwch Conwy,1
Cilycwm,1
Crumlin 4,1
Glyn (Carmarthenshire),1
Carmarthen Town North 3,1
Bodffordd,1
West Cross 4,1
Pyle 3,1
Townhill 1,1
Cockett 5,1
Fishguard North West,1
Larkfield,1
