,WIMD_2019_Rank
887,26
1039,19
1834,14
1153,14
29,13
1895,12
1653,11
1505,10
1083,10
not found,10
482,9
177,9
349,9
315,9
1590,9
956,9
1702,9
562,9
431,9
1825,9
99,8
1337,8
865,8
834,8
1669,7
1380,7
1058,7
1127,7
1300,7
1560,7
1750,6
178,6
391,6
772,6
817,6
1903,6
399,6
1381,6
1174,6
1276,6
47,6
1238,5
1386,5
93,5
511,5
750,5
1706,5
1463,5
723,5
1399,5
1784,5
1480,5
1444,5
1264,4
1881,4
1119,4
1767,4
1613,4
1147,4
998,4
971,4
1826,4
704,4
1126,4
86,4
1406,4
330,4
581,4
1838,4
1374,4
302,4
816,4
620,4
740,4
760,4
271,4
1897,4
1608,4
778,3
820,3
1335,3
1364,3
272,3
171,3
1415,3
62,3
1304,3
641,3
1714,3
1751,3
1441,3
371,3
1718,3
1611,3
555,3
1801,3
1312,3
1660,3
232,3
204,3
1288,3
1256,3
397,3
1722,3
1277,3
510,3
645,3
692,2
964,2
1200,2
913,2
1523,2
229,2
1263,2
362,2
939,2
1004,2
456,2
644,2
135,2
1252,2
289,2
1382,2
754,2
677,2
1064,2
326,2
1499,2
381,2
299,2
217,2
616,2
1779,2
1110,2
1739,2
1391,2
798,2
1353,2
771,2
986,2
473,2
389,2
35,2
775,2
203,2
1185,2
1314,2
538,2
419,2
1404,2
1592,2
1333,2
861,2
53,2
1522,2
797,2
735,2
1464,2
1299,2
241,2
134,2
1171,2
1163,2
926,2
317,2
421,2
72,2
79,2
1905,2
284,2
369,2
1743,2
1719,2
1884,2
1060,2
311,2
1438,2
536,2
1814,2
1664,1
934,1
948,1
27,1
1487,1
1114,1
943,1
1261,1
1639,1
205,1
1594,1
1128,1
656,1
84,1
836,1
1450,1
1774,1
515,1
3,1
112,1
102,1
804,1
123,1
1282,1
1709,1
924,1
366,1
647,1
727,1
1585,1
1874,1
143,1
1305,1
1563,1
355,1
1549,1
975,1
1357,1
207,1
246,1
1459,1
5,1
1734,1
1610,1
1762,1
965,1
1150,1
251,1
1387,1
764,1
1412,1
235,1
81,1
592,1
322,1
269,1
718,1
1723,1
744,1
1603,1
1019,1
543,1
1025,1
1008,1
8,1
1043,1
1371,1
632,1
154,1
837,1
365,1
932,1
1269,1
1507,1
1093,1
188,1
844,1
1298,1
769,1
88,1
1068,1
1295,1
1541,1
1906,1
1501,1
1088,1
58,1
1790,1
1246,1
660,1
1781,1
877,1
447,1
1893,1
1526,1
161,1
1851,1
321,1
226,1
868,1
31,1
1034,1
1330,1
1231,1
1303,1
1765,1
978,1
589,1
1413,1
987,1
1291,1
588,1
1760,1
1448,1
373,1
1565,1
1551,1
382,1
297,1
1605,1
237,1
1586,1
1878,1
749,1
1833,1
584,1
420,1
1614,1
1595,1
1278,1
283,1
329,1
1597,1
1698,1
1306,1
1815,1
1092,1
1368,1
1048,1
279,1
1802,1
556,1
23,1
852,1
770,1
1805,1
1142,1
746,1
1255,1
686,1
822,1
309,1
32,1
1309,1
1417,1
1769,1
908,1
230,1
524,1
625,1
1561,1
1318,1
600,1
60,1
949,1
912,1
661,1
1135,1
1104,1
77,1
1313,1
1079,1
1579,1
1405,1
1525,1
1426,1
1793,1
1531,1
1680,1
1173,1
393,1
1852,1
1440,1
1245,1
673,1
1398,1
1385,1
1241,1
914,1
910,1
929,1
1066,1
743,1
1116,1
591,1
479,1
18,1
1539,1
936,1
1490,1
