number,value,datetime_start,datetime_complete,duration,params_balancing,params_contrast_method,params_feature_selection,params_number_features,params_var_smoothing,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.265527554846954,2022-10-18 23:05:28.950871,2022-10-18 23:05:47.181044,0 days 00:00:18.230173,no,Backward Difference,BorutaShap,,0.0012635718261395118,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=GaussianNB(var_smoothing=0.0012635718261395118)))])",no,no,Backward Difference,,BorutaShap,,no,0.3036101099822292,0.30599826506152666,0.17479633871869962,0.32393619806387186,0.3036101099822292,0.2770456503014643,0.265527554846954,0.11869217396843963,0.2554029492204872,0.2770456503014643,COMPLETE
1,0.25775848448208205,2022-10-18 23:05:47.334629,2022-10-18 23:05:51.494458,0 days 00:00:04.159829,no,Polynomial,MutualInformation,19.0,0.002941687341533688,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=GaussianNB(var_smoothing=0.002941687341533688),
                                             number=19))])",no,no,Polynomial,,MutualInformation,19.0,no,0.2918528651770786,0.28227298423552344,0.10071450623388194,0.30111530115147994,0.2918528651770786,0.27130816714150047,0.25775848448208205,0.07007511501835645,0.2525893589615598,0.27130816714150047,COMPLETE
2,0.3028884665784422,2022-10-18 23:05:51.690741,2022-10-18 23:05:53.909669,0 days 00:00:02.218928,no,Polynomial,ANOVA,4.0,0.0021184565521178947,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=GaussianNB(var_smoothing=0.0021184565521178947),
                                             number=4))])",no,no,Polynomial,,ANOVA,4.0,no,0.3743522118644396,0.37650052254665667,0.21123233694661403,0.3943258757833348,0.3743522118644396,0.3147200877948532,0.3028884665784422,0.1372152048630488,0.2976849483846125,0.3147200877948532,COMPLETE
3,0.2958274960947016,2022-10-18 23:05:54.057772,2022-10-18 23:06:00.008546,0 days 00:00:05.950774,no,Sum,FeatureWiz,,1.1340115588691457e-06,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GaussianNB(var_smoothing=1.1340115588691457e-06)))])",no,no,Sum,,FeatureWiz,,no,0.430764704631069,0.4539415206692818,0.2580112496483799,0.5276085485520304,0.430764704631069,0.30079852138960667,0.2958274960947016,0.09390895580622123,0.30302215507559666,0.30079852138960667,COMPLETE
4,0.14604189740371554,2022-10-18 23:06:00.155127,2022-10-18 23:06:52.569955,0 days 00:00:52.414828,smoteen,Helmert,BorutaShap,,7.49489783514294e-07,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=GaussianNB(var_smoothing=7.49489783514294e-07)))])",smoteen,no,Helmert,,BorutaShap,,no,0.3815806682952212,0.16991522203929862,0.08505901185196098,0.2886445544742065,0.3815806682952212,0.2713567184624916,0.14604189740371554,0.01639243278473997,0.2728666786716322,0.2713567184624916,COMPLETE
5,0.2880739258833918,2022-10-18 23:06:52.710746,2022-10-18 23:07:01.014975,0 days 00:00:08.304229,smoteen,Backward Difference,FeatureWiz,,2.254522685452135e-07,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GaussianNB(var_smoothing=2.254522685452135e-07)))])",smoteen,no,Backward Difference,,FeatureWiz,,no,0.44684471887780136,0.4401229443611642,0.2098503745675595,0.5021745198679891,0.44684471887780136,0.29461356403165867,0.2880739258833918,0.0885523322050523,0.290819903794949,0.29461356403165867,COMPLETE
6,0.24615160527903193,2022-10-18 23:07:01.168346,2022-10-18 23:07:09.599042,0 days 00:00:08.430696,smoteen,Sum,FeatureWiz,,0.48374943669527903,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GaussianNB(var_smoothing=0.48374943669527903)))])",smoteen,no,Sum,,FeatureWiz,,no,0.3189228086023608,0.2437995407956395,0.03476516986595657,0.25964754089976183,0.3189228086023608,0.3200499229339499,0.24615160527903193,0.02832708041464455,0.258062758026379,0.3200499229339499,COMPLETE
7,0.0322905115966226,2022-10-18 23:07:09.734962,2022-10-18 23:07:13.608334,0 days 00:00:03.873372,smoteen,Backward Difference,ANOVA,13.0,0.16107510045932638,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=GaussianNB(var_smoothing=0.16107510045932638),
                                             number=13))])",smoteen,no,Backward Difference,,ANOVA,13.0,no,0.24587826797385623,0.024064147688950512,-0.010150680166865735,0.012851777473800667,0.24587826797385623,0.2402065527065527,0.0322905115966226,-0.005815036188839014,0.018707610061148055,0.2402065527065527,COMPLETE
8,0.015264905094578103,2022-10-18 23:07:13.773564,2022-10-18 23:07:17.653384,0 days 00:00:03.879820,smoteen,Backward Difference,ANOVA,16.0,2.865607818528601e-08,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=GaussianNB(var_smoothing=2.865607818528601e-08),
                                             number=16))])",smoteen,no,Backward Difference,,ANOVA,16.0,no,0.2349877450980392,0.015058413825093514,-0.022509531485105736,0.007778796581948056,0.2349877450980392,0.23958333333333334,0.015264905094578103,-0.02980725280508667,0.007884389945327981,0.23958333333333334,COMPLETE
9,0.015284553390088468,2022-10-18 23:07:17.793526,2022-10-18 23:07:21.745124,0 days 00:00:03.951598,smoteen,Helmert,ANOVA,14.0,0.025613208112979777,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in...
                                       'Timestamp_day_of_week',
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=GaussianNB(var_smoothing=0.025613208112979777),
                                             number=14))])",smoteen,no,Helmert,,ANOVA,14.0,no,0.24366830065359477,0.018111884082784177,-0.006271543769364808,0.009989161617303408,0.24366830065359477,0.23958333333333334,0.015284553390088468,-0.02995623862363095,0.007894846477523643,0.23958333333333334,COMPLETE
