number,value,datetime_start,datetime_complete,duration,params_balancing,params_ccp_alpha,params_contrast_method,params_feature_selection,params_learning_rate,params_loss,params_max_features,params_n_estimators,params_number_features,params_subsample,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.03328200296386518,2022-10-19 10:48:42.533076,2022-10-19 10:48:47.623977,0 days 00:00:05.090901,smoteen,0.06779555482085757,Polynomial,ANOVA,0.05724035909349452,log_loss,sqrt,100,29.0,0.7704139393623515,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=GradientBoostingClassifier(ccp_alpha=0.06779555482085757,
                                                                              learning_rate=0.05724035909349452,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7704139393623515),
                                             number=29))])",smoteen,no,Polynomial,,ANOVA,29.0,no,0.2749040060627341,0.08159983078636351,0.020793769928326274,0.2878276166663099,0.2749040060627341,0.24281727412847362,0.03328200296386518,0.004193131627185653,0.11718161703501302,0.24281727412847362,COMPLETE
1,0.05366867713034353,2022-10-19 10:48:47.772852,2022-10-19 10:48:50.484805,0 days 00:00:02.711953,no,0.05954774279919228,Sum,FeatureImportance_ET,0.29444640328878796,log_loss,sqrt,100,30.0,0.7288397478567393,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=GradientBoostingClassifier(ccp_alpha=0.05954774279919228,
                                                                              learning_rate=0.29444640328878796,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7288397478567393),
                                             number=30))])",no,no,Sum,,FeatureImportance_ET,30.0,no,0.306985294117647,0.06739206723133505,0.032860944838837815,0.04702893157535757,0.306985294117647,0.28472222222222227,0.05366867713034353,0.009825265617669545,0.03464517893647358,0.28472222222222227,COMPLETE
2,0.14933450142836222,2022-10-19 10:48:50.655670,2022-10-19 10:48:58.705260,0 days 00:00:08.049590,smoteen,0.07102534684712332,Polynomial,FeatureWiz,0.013255225222300071,log_loss,sqrt,100,,0.7312161762767296,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.07102534684712332,
                                                                              learning_rate=0.013255225222300071,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7312161762767296)))])",smoteen,no,Polynomial,,FeatureWiz,,no,0.42267254922374686,0.31703886138461257,0.08085115796425595,0.4224771488766664,0.42267254922374686,0.2853923001949318,0.14933450142836222,0.013526016759066865,0.19209162080025122,0.2853923001949318,COMPLETE
3,0.05380453479992168,2022-10-19 10:48:58.869664,2022-10-19 10:49:05.020993,0 days 00:00:06.151329,no,0.045674108405232,Polynomial,Lasso,0.12884106898460615,log_loss,sqrt,100,10.0,0.8624630856232463,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.045674108405232,
                                                                              learning_rate=0.12884106898460615,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.8624630856232463),
                                             number=10))])",no,no,Polynomial,,Lasso,10.0,no,0.30892565359477125,0.07351639121287974,0.029634171172620665,0.05208368148589456,0.30892565359477125,0.2671783625730994,0.05380453479992168,0.0013403071142275881,0.03657851019195557,0.2671783625730994,COMPLETE
4,0.300999476513086,2022-10-19 10:49:05.194496,2022-10-19 10:49:11.165176,0 days 00:00:05.970680,no,0.014058036554451925,Helmert,FeatureWiz,0.07745501763143287,log_loss,sqrt,100,,0.6814302436172056,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.014058036554451925,
                                                                              learning_rate=0.07745501763143287,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.6814302436172056)))])",no,no,Helmert,,FeatureWiz,,no,0.6398791327779715,0.43302848110907516,0.28471764766411006,0.4154108455454586,0.6398791327779715,0.3859995731145262,0.300999476513086,0.15482899429667876,0.3325541015223024,0.3859995731145262,COMPLETE
5,0.11117339907903712,2022-10-19 10:49:11.319721,2022-10-19 10:49:19.233311,0 days 00:00:07.913590,smoteen,0.07481257544322646,Sum,FeatureWiz,0.17262202511751337,log_loss,sqrt,100,,0.9760032319422911,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.07481257544322646,
                                                                              learning_rate=0.17262202511751337,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.9760032319422911)))])",smoteen,no,Sum,,FeatureWiz,,no,0.4436162233350714,0.29498093473551257,0.08489364491415818,0.4111992097764119,0.4436162233350714,0.2836947693307343,0.11117339907903712,0.002952893298258772,0.1809830598137401,0.2836947693307343,COMPLETE
6,0.06427125454486926,2022-10-19 10:49:19.401793,2022-10-19 10:49:24.810077,0 days 00:00:05.408284,smoteen,0.09118920456532524,Backward Difference,FeatureImportance_ET,0.25553717813207716,log_loss,sqrt,100,29.0,0.5694800763103314,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=GradientBoostingClassifier(ccp_alpha=0.09118920456532524,
                                                                              learning_rate=0.25553717813207716,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5694800763103314),
                                             number=29))])",smoteen,no,Backward Difference,,FeatureImportance_ET,29.0,no,0.26904682662027074,0.10233409146167743,0.015759385560720516,0.2731056846606153,0.26904682662027074,0.26679444897774157,0.06427125454486926,0.020557091421869497,0.115356511871632,0.26679444897774157,COMPLETE
7,0.25820091609483714,2022-10-19 10:49:24.977985,2022-10-19 10:49:28.415626,0 days 00:00:03.437641,no,0.03336563533904877,Helmert,MutualInformation,0.010148580044713744,log_loss,sqrt,100,25.0,0.5489109244008293,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=GradientBoostingClassifier(ccp_alpha=0.03336563533904877,
                                                                              learning_rate=0.010148580044713744,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5489109244008293),
                                             number=25))])",no,no,Helmert,,MutualInformation,25.0,no,0.4873525245546821,0.29637076005235613,0.1852895143228266,0.3331016510631795,0.4873525245546821,0.3757092721036009,0.25820091609483714,0.12334334471041002,0.3238362985541636,0.3757092721036009,COMPLETE
8,0.22007007631141084,2022-10-19 10:49:28.583615,2022-10-19 10:49:47.391547,0 days 00:00:18.807932,smoteen,0.07608631399021916,Sum,Lasso,0.0859466974261573,log_loss,sqrt,100,8.0,0.6436794500808801,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.07608631399021916,
                                                                              learning_rate=0.0859466974261573,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.6436794500808801),
                                             number=8))])",smoteen,no,Sum,,Lasso,8.0,no,0.3084521114518612,0.27546635228611543,0.0684680917107413,0.324546690857438,0.3084521114518612,0.23615096634782481,0.22007007631141084,0.01625496073758635,0.23469277557086596,0.23615096634782481,COMPLETE
9,0.14492617264119453,2022-10-19 10:49:47.563754,2022-10-19 10:49:50.384962,0 days 00:00:02.821208,no,0.03935438316607551,Polynomial,FeatureImportance_ET,0.010871329728381977,log_loss,sqrt,100,26.0,0.7924870258411902,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=GradientBoostingClassifier(ccp_alpha=0.03935438316607551,
                                                                              learning_rate=0.010871329728381977,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7924870258411902),
                                             number=26))])",no,no,Polynomial,,FeatureImportance_ET,26.0,no,0.36679829339143066,0.1547984455929968,0.08561608453599072,0.17590511358602054,0.36679829339143066,0.33981113151094794,0.14492617264119453,0.07211707554257565,0.1513749464017867,0.33981113151094794,COMPLETE
10,0.2675574028506014,2022-10-19 10:49:50.526627,2022-10-19 10:49:56.136769,0 days 00:00:05.610142,no,0.0048482388150883245,Helmert,FeatureWiz,0.1483473934676008,log_loss,sqrt,100,,0.8347505373005913,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.0048482388150883245,
                                                                              learning_rate=0.1483473934676008,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.8347505373005913)))])",no,no,Helmert,,FeatureWiz,,no,0.7023783615861716,0.5485755951273937,0.42363657906177465,0.5435566155362325,0.7023783615861716,0.3082210397872373,0.2675574028506014,0.09598264167716852,0.28820101734726883,0.3082210397872373,COMPLETE
11,0.2403196651187749,2022-10-19 10:49:56.303908,2022-10-19 10:50:01.980324,0 days 00:00:05.676416,no,0.01658404772486475,Helmert,FeatureWiz,0.14437716553870691,log_loss,sqrt,100,,0.7410640849115061,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.01658404772486475,
                                                                              learning_rate=0.14437716553870691,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7410640849115061)))])",no,no,Helmert,,FeatureWiz,,no,0.5762315758876709,0.39118026326809435,0.2326425254861254,0.38785280934215133,0.5762315758876709,0.34096627226982185,0.2403196651187749,0.11408676130332442,0.3175281306801528,0.34096627226982185,COMPLETE
12,0.3139625141755302,2022-10-19 10:50:02.145066,2022-10-19 10:50:07.761664,0 days 00:00:05.616598,no,0.01692600372521066,Backward Difference,Lasso,0.050965033505296485,log_loss,sqrt,100,26.0,0.644610661734402,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.01692600372521066,
                                                                              learning_rate=0.050965033505296485,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.644610661734402),
                                             number=26))])",no,no,Backward Difference,,Lasso,26.0,no,0.6411373030366422,0.41966219287109574,0.2885172938591793,0.39487487739727767,0.6411373030366422,0.4261901793674539,0.3139625141755302,0.16929688136316287,0.324909138279401,0.4261901793674539,COMPLETE
13,0.3088599070305527,2022-10-19 10:50:07.902878,2022-10-19 10:50:13.559019,0 days 00:00:05.656141,no,0.013270146567166583,Backward Difference,Lasso,0.06279103915157065,log_loss,sqrt,100,27.0,0.549397533587231,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.013270146567166583,
                                                                              learning_rate=0.06279103915157065,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.549397533587231),
                                             number=27))])",no,no,Backward Difference,,Lasso,27.0,no,0.7636725408313655,0.5001469769648818,0.38317700671150523,0.4531007401738309,0.7636725408313655,0.40572073756743277,0.3088599070305527,0.1688247687903179,0.318933190216485,0.40572073756743277,COMPLETE
