number,value,datetime_start,datetime_complete,duration,params_balancing,params_contrast_method,params_feature_selection,params_leaf_size,params_n_jobs,params_n_neighbors,params_number_features,params_p,params_weights,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.25630877994755114,2022-10-18 22:53:29.231863,2022-10-18 22:53:31.512748,0 days 00:00:02.280885,no,Sum,FeatureImportance_ET,45,2,3,7.0,3,distance,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=KNeighborsClassifier(leaf_size=45,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=7,
                                             scaling_indicator='yes'))])",no,no,Sum,,FeatureImportance_ET,7.0,yes,0.9597863247863249,0.9771053485666995,0.9622644209170627,0.9969634354723057,0.9597863247863249,0.2687952385269807,0.25630877994755114,0.026270776451433813,0.2781103221346168,0.2687952385269807,COMPLETE
1,0.23452436930635234,2022-10-18 22:53:31.653741,2022-10-18 22:54:00.206921,0 days 00:00:28.553180,smoteen,Polynomial,Lasso,19,2,11,8.0,1,uniform,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                             'Timestamp_day_of_year',
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=KNeighborsClassifier(leaf_size=19,
                                                                        n_jobs=2,
                                                                        n_neighbors=11,
                                                                        p=1),
                                             number=8,
                                             scaling_indicator='yes'))])",smoteen,no,Polynomial,,Lasso,8.0,yes,0.3623999278190398,0.38071919072156124,0.19664522838007603,0.46729242010714983,0.3623999278190398,0.28913727579068255,0.23452436930635234,0.0524921085076207,0.2656854287214682,0.28913727579068255,COMPLETE
2,0.2345584071263076,2022-10-18 22:54:00.345910,2022-10-18 22:54:05.395058,0 days 00:00:05.049148,smoteen,Sum,FeatureImportance_ET,28,2,7,14.0,2,uniform,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                             'Timestamp_day_of_year',
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=KNeighborsClassifier(leaf_size=28,
                                                                        n_jobs=2,
                                                                        n_neighbors=7),
                                             number=14,
                                             scaling_indicator='yes'))])",smoteen,no,Sum,,FeatureImportance_ET,14.0,yes,0.34513264061515964,0.3671740744394046,0.1649924702385641,0.4472096732753079,0.34513264061515964,0.27685185185185185,0.2345584071263076,0.02252897832522169,0.24060239504885486,0.27685185185185185,COMPLETE
3,0.24354743489168565,2022-10-18 22:54:05.540058,2022-10-18 22:54:29.866695,0 days 00:00:24.326637,no,Backward Difference,BorutaShap,17,2,7,,2,uniform,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                             'Timestamp_day_of_year',
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=17,
                                                                        n_jobs=2,
                                                                        n_neighbors=7),
                                             scaling_indicator='yes'))])",no,no,Backward Difference,,BorutaShap,,yes,0.27092284383197557,0.2677416072476058,0.1356384332698453,0.42285061068284263,0.27092284383197557,0.2573898408812729,0.24354743489168565,0.0641225333735771,0.3151732220666044,0.2573898408812729,COMPLETE
4,0.2338907881052866,2022-10-18 22:54:30.043953,2022-10-18 22:54:35.739823,0 days 00:00:05.695870,smoteen,Backward Difference,FeatureImportance_ET,49,2,3,29.0,1,distance,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=KNeighborsClassifier(leaf_size=49,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=1,
                                                                        weights='distance'),
                                             number=29,
                                             scaling_indicator='yes'))])",smoteen,no,Backward Difference,,FeatureImportance_ET,29.0,yes,0.9978632478632479,0.9988211865384519,0.997688997423241,0.9998070987654321,0.9978632478632479,0.2502713367181952,0.2338907881052866,0.01386676248823965,0.2360192431278962,0.2502713367181952,COMPLETE
5,0.23511831730091867,2022-10-18 22:54:35.941499,2022-10-18 22:55:42.666324,0 days 00:01:06.724825,smoteen,Polynomial,BorutaShap,25,2,11,,1,uniform,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                             'Timestamp_day_of_year',
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=25,
                                                                        n_jobs=2,
                                                                        n_neighbors=11,
                                                                        p=1),
                                             scaling_indicator='yes'))])",smoteen,no,Polynomial,,BorutaShap,,yes,0.5956365015318202,0.5404634786682955,0.3518246329417312,0.5183509948505945,0.5956365015318202,0.24227752844643913,0.23511831730091867,0.001339956633215039,0.27504788113679185,0.24227752844643913,COMPLETE
6,0.24370734359964896,2022-10-18 22:55:42.821346,2022-10-18 22:56:02.370701,0 days 00:00:19.549355,no,Sum,BorutaShap,32,2,7,,1,uniform,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                             'Timestamp_day_of_year',
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=32,
                                                                        n_jobs=2,
                                                                        n_neighbors=7,
                                                                        p=1),
                                             scaling_indicator='yes'))])",no,no,Sum,,BorutaShap,,yes,0.26360382334860294,0.2537085585401199,0.09344964438812196,0.29950420803245614,0.26360382334860294,0.25756172839506175,0.24370734359964896,0.09230063066335649,0.2810595076161864,0.25756172839506175,COMPLETE
7,0.2547376102975719,2022-10-18 22:56:02.516685,2022-10-18 22:56:12.240895,0 days 00:00:09.724210,smoteen,Backward Difference,FeatureWiz,46,2,5,,1,distance,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                             'Timestamp_day_of_year',
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=KNeighborsClassifier(leaf_size=46,
                                                                        n_jobs=2,
                                                                        p=1,
                                                                        weights='distance'),
                                             scaling_indicator='yes'))])",smoteen,no,Backward Difference,,FeatureWiz,,yes,1.0,1.0,1.0,1.0,1.0,0.26313919488644094,0.2547376102975719,0.031935596910425725,0.25928167760324006,0.26313919488644094,COMPLETE
8,0.2524229886053539,2022-10-18 22:56:12.415902,2022-10-18 22:56:37.624776,0 days 00:00:25.208874,smoteen,Sum,Lasso,33,2,9,6.0,1,distance,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=KNeighborsClassifier(leaf_size=33,
                                                                        n_jobs=2,
                                                                        n_neighbors=9,
                                                                        p=1,
                                                                        weights='distance'),
                                             number=6,
                                             scaling_indicator='yes'))])",smoteen,no,Sum,,Lasso,6.0,yes,0.8984293442011756,0.9305205011607137,0.8963304914030866,0.9732445533565969,0.8984293442011756,0.30910314384151594,0.2524229886053539,0.0996296912029666,0.3321823767759698,0.30910314384151594,COMPLETE
9,0.2549799845524612,2022-10-18 22:56:37.816116,2022-10-18 22:56:42.386015,0 days 00:00:04.569899,no,Backward Difference,MutualInformation,31,2,5,29.0,2,uniform,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                             'Timestamp_day_of_year',
                                             'Birth_Date_month',
                                             'Birth_Date_quarter',
                                             'Birth_Date_week',
                                             'Birth_Date_day_of_week',
                                             'Birth_Date_day_of_month',
                                             'Birth_Date_day_of_year'])],
                ('scaling', ScalingTransformer()),
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=KNeighborsClassifier(leaf_size=31,
                                                                        n_jobs=2),
                                             number=29,
                                             scaling_indicator='yes'))])",no,no,Backward Difference,,MutualInformation,29.0,yes,0.271216907609019,0.2682414966855272,0.16579603029965317,0.4732209114831554,0.271216907609019,0.2640292322105868,0.2549799845524612,0.075724119616981,0.3227279589371981,0.2640292322105868,COMPLETE
