Feature_selector,Contrast_encoding_method,Models,Best_params,Cluster_Indicator,Damping_cluster_value,Number_features,Features,Balancing_handled,Feature_scaling_handled,Outer_fold,bal_acc_inner_train_cv,bal_acc_inner_val_cv,bal_acc_outer_val_cv,precision_inner_train_cv,precision_inner_val_cv,precision_outer_val_cv,recall_inner_train_cv,recall_inner_val_cv,recall_outer_val_cv,f1_inner_train_cv,f1_inner_val_cv,f1_outer_val_cv,mc_inner_train_cv,mc_inner_val_cv,mc_outer_val_cv
FeatureWiz,Helmert,LogisticRegression,"{'C': 0.7942685367134228, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l1', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,,55,"['Type_of_play_places_In my garden;In my school playground', 'Gender_Girl', 'Timestamp_day_of_year_cos', 'WIMD_2019_Rank', 'Play_inall_places_2', 'Safety_toplay_scale', 'Breakfast_ytd_Toast', 'Birth_Date_year', 'Play_inall_places_0', 'Concentrate_in_week_2', 'Sleeptime_ytd_cos', 'Timestamp_day_of_month_sin', 'Feel_partof_community_1', 'Tired_in_week_2', 'Sleeptime_ytd_sin', 'Snacks_Brk', 'Sports_in_week_0', 'Tired_in_week_3', 'Number_people_household_3', 'Breakfast_ytd_Rare', 'Sugarsnack_in_week_0', 'School_scale', 'Tired_in_week_1', 'Lots_of_things_good_at_1', 'Lots_of_choices_important_2', 'Health_scale', 'Going_school_No, I am at home', 'Nothing_Brk', 'Play_in_garden', 'School_Health_Records', 'Softdrink_in_week_2', 'Looks_scale', 'Play_in_house', 'Type_of_play_places_In my house;In my garden', 'Sports_in_week_1', 'Fruits_Brk', 'Birth_Date_quarter_sin', 'Yogurt_Brk', 'Timestamp_day_of_week_cos', 'Cooked_Breakfast_Brk', 'Timestamp_day_of_month_cos', 'Easywalk_somewhere', 'Homespace_relax_Sometimes but not all the time', 'Birth_Date_day_of_year_cos', 'Doingwell_schoolwork_3', 'Enoughtime_toplay_3', 'Awaketime_today_sin', 'Breakfast_ytd_Sugary cereal e.g. cocopops, frosties, sugar puffs, chocolate cereals', 'Num_Type_of_play_places', 'Awaketime_today_hour_sin', 'Num_Method_of_keepintouch', 'Lots_of_choices_important_4', 'Breakfast_ytd_Healthy cereal e.g. porridge, weetabix, readybrek, muesli, branflakes, cornflakes', 'Outdoorplay_freq_3', 'Lots_of_things_good_at_3']",smoteen,yes,1,0.4852795786771667,0.3561457051078634,0.26851851851851855,0.6035626261539614,0.43934817282015554,0.2649122807017544,0.4852795786771667,0.3561457051078634,0.26851851851851855,0.5254805097881086,0.3329007212169693,0.26617526617526616,0.3510538107910799,0.14220255817731925,0.05480993768980266
Lasso,Sum,LogisticRegression,"{'C': 0.9809906811122874, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l1', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,0.9407402430907134,28,"['age', 'Softdrink_in_week_3', 'Life_scale', 'WIMD_2019_Decile', 'Takeawayfood_in_week_0', 'Study_Year', 'School_Health_Records', 'Concentrate_in_week_3', 'Looks_scale', 'Fruitveg_ytd_1', 'Concentrate_in_week_2', 'School_scale', 'Going_school_Yes, most days of the week', 'Gender_Girl', 'Play_in_house', 'Concentrate_in_week_1', 'Outdoorplay_freq_2', 'Play_in_street', 'Easywalk_somewhere', 'Internet_in_week_0', 'Tired_in_week_1', 'Awaketime_today_halfhour', 'Doingwell_schoolwork_2', 'Birth_Date_day_of_year_sin', 'Sports_in_week_1', 'Lots_of_choices_important_4', 'Lots_of_things_good_at_1', 'cluster_distance']",smoteen,yes,2,0.45054887436056684,0.31607231800265256,0.3311728395061728,0.4774670021162973,0.34857300497683497,0.4245871180842279,0.45054887436056684,0.31607231800265256,0.3311728395061728,0.45873594533546697,0.3159464790001247,0.3546455223880597,0.3010893117095283,0.13067928657061673,0.11175023481123787
FeatureWiz,Backward Difference,LogisticRegression,"{'C': 0.4298961887288739, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l2', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,0.5887244066581782,63,"['Contact_by_visit', 'Timestamp_day_of_week_sin', 'Going_school_No, I am at home', 'Homespace_relax_Yes', 'Play_near_water', 'Type_of_play_places_In my house;In my garden', 'Easywalk_somewhere', 'Method_of_keepintouch_By phone (texting, calling or video calling);On social media', 'Play_inall_places_3', 'Brush_teeth_ytd', 'Sports_in_week_1', 'Gender_Girl', 'Enoughtime_toplay_1', 'Life_scale', 'School_scale', 'Softdrink_in_week_3', 'Softdrink_in_week_2', 'Doingwell_schoolwork_2', 'Play_in_playground', 'Health_scale', 'Sleeptime_ytd_sin', 'Feel_partof_community_1', 'Contact_by_phone', 'Hours_slept', 'Play_in_house', 'Sugarsnack_in_week_3', 'Yogurt_Brk', 'Method_of_keepintouch_I live near them so I can see them (at a social distance);By phone (texting, calling or video calling)', 'Sports_in_week_0', 'School_Health_Records', 'Fruits_Brk', 'Outdoorplay_freq_3', 'Number_people_household_4', 'Tired_in_week_3', 'Lots_of_choices_important_2', 'WIMD_2019_Decile', 'Method_of_keepintouch_I live near them so I can see them (at a social distance);By phone (texting, calling or video calling);On games consoles', 'Lots_of_things_good_at_2', 'Safety_toplay_scale', 'Num_Breakfast_ytd', 'Takeawayfood_in_week_0', 'Timestamp_day_of_month_sin', 'Awaketime_today_cos', 'Timestamp_month_sin', 'Sports_in_week_3', 'Snacks_Brk', 'Lots_of_choices_important_4', 'Takeawayfood_in_week_1', 'Lots_of_things_good_at_4', 'Number_people_household_0', 'Birth_Date_year', 'Internet_in_week_1', 'Timestamp_month_cos', 'Breakfast_ytd_Healthy cereal e.g. porridge, weetabix, readybrek, muesli, branflakes, cornflakes', 'Sleeptime_ytd_cos', 'Birth_Date_month_sin', 'Awaketime_today_sin', 'Enoughtime_toplay_3', 'Tired_in_week_0', 'Concentrate_in_week_1', 'Breakfast_ytd_Sugary cereal e.g. cocopops, frosties, sugar puffs, chocolate cereals', 'Birth_Date_month_cos', 'cluster_distance']",no,yes,3,0.38386394839235716,0.29196095320126325,0.3384038800705467,0.8305542470176617,0.4575989555364064,0.4236111111111111,0.38386394839235716,0.29196095320126325,0.3384038800705467,0.4486851446187661,0.29890304901605586,0.3489858095121253,0.3754542415989173,0.11320097058502325,0.15735950848440333
Lasso,Backward Difference,LogisticRegression,"{'C': 0.4862008436823455, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l2', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,,21,"['age', 'Study_Year', 'Looks_scale', 'Gender_Girl', 'School_scale', 'Concentrate_in_week_1', 'Safety_toplay_scale', 'Breakfast_ytd_Rare', 'Concentrate_in_week_3', 'Timestamp_day_of_month_cos', 'Birth_Date_day_of_month_cos', 'Concentrate_in_week_0', 'Play_in_garden', 'Going_school_No, I am at home', 'Awaketime_today_hour_cos', 'Awaketime_today_halfhour', 'Sports_in_week_1', 'Lots_of_things_good_at_2', 'Play_in_street', 'School_Health_Records', 'Tired_in_week_2']",smoteen,yes,4,0.4073833522178116,0.3634335758647264,0.3429606625258799,0.45196948492872596,0.330091395022077,0.3342663984802771,0.4073833522178116,0.3634335758647264,0.3429606625258799,0.4178426251994047,0.32463646117605616,0.3377543470218276,0.22293103261205613,0.14996015078181926,0.12338890418686187
MutualInformation,Sum,LogisticRegression,"{'C': 0.1446337755834895, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l2', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,0.9397221418138794,5,"['Health_scale', 'WIMD_2019_Rank', 'Play_in_street', 'Looks_scale', 'cluster_distance']",no,yes,5,0.423938816915308,0.38708016874326545,0.3129572118702553,0.3331386578810008,0.306035408105569,0.28530092592592593,0.423938816915308,0.38708016874326545,0.3129572118702553,0.3229639088442977,0.28492927705243826,0.2671146198981905,0.17884973836486331,0.14122041676107783,0.09552349333009072
ANOVA,Polynomial,LinearSVC,"{'C': 0.25371001423052325, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",yes,0.8358008639978551,24,"['Fruitveg_ytd_0', 'Brush_teeth_ytd', 'Safety_toplay_scale', 'Health_scale', 'School_scale', 'Family_scale', 'Friends_scale', 'Looks_scale', 'Life_scale', 'Sports_in_week_1', 'Tired_in_week_0', 'Tired_in_week_3', 'Hours_slept', 'Nothing_Brk', 'Doingwell_schoolwork_1', 'Doingwell_schoolwork_0', 'Lots_of_things_good_at_1', 'Outdoorplay_freq_3', 'Enoughtime_toplay_1', 'Play_inall_places_0', 'Homespace_relax_No', 'Sleeptime_ytd_sin', 'Awaketime_today_cos', 'cluster_distance']",no,yes,1,0.5206456082565154,0.34788567460691083,0.3987654320987654,0.46832726309385064,0.3342842428358641,0.36026028509563335,0.5206456082565154,0.34788567460691083,0.3987654320987654,0.47929573990709545,0.33457451482324946,0.35351170568561874,0.3385308806224239,0.21066254808412554,0.2304843988005802
MutualInformation,Polynomial,LinearSVC,"{'C': 0.10104851813904453, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",no,,25,"['Life_scale', 'Tired_in_week_0', 'Going_school_I am in a different school from my own school', 'Health_scale', 'School_scale', 'Sports_in_week_0', 'Birth_Date_day_of_year_sin', 'Brush_teeth_ytd', 'Concentrate_in_week_2', 'Sugarsnack_in_week_3', 'Tired_in_week_2', 'Softdrink_in_week_3', 'Sugarsnack_in_week_0', 'Hours_slept', 'Softdrink_in_week_0', 'Softdrink_in_week_1', 'Method_of_keepintouch_Rare', 'Sugarsnack_in_week_2', 'WIMD_2019_Decile', 'Enoughtime_toplay_3', 'Lots_of_things_good_at_0', 'Number_people_household_3', 'Softdrink_in_week_2', 'Doingwell_schoolwork_4', 'Nothing_Brk']",no,yes,2,0.4466234940984295,0.32858637558249965,0.3132716049382716,0.5092099974780391,0.36936414208799323,0.2588757396449704,0.4466234940984295,0.32858637558249965,0.3132716049382716,0.4433626460077975,0.3262563507998247,0.2777071076482748,0.3060731976421575,0.12201012343503197,0.15602200933052848
ANOVA,Polynomial,LinearSVC,"{'C': 0.25371001423052325, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",yes,0.8358008639978551,24,"['Fruitveg_ytd_0', 'Brush_teeth_ytd', 'Safety_toplay_scale', 'Health_scale', 'School_scale', 'Family_scale', 'Friends_scale', 'Looks_scale', 'Life_scale', 'Sports_in_week_1', 'Tired_in_week_0', 'Tired_in_week_3', 'Hours_slept', 'Nothing_Brk', 'Doingwell_schoolwork_1', 'Doingwell_schoolwork_0', 'Lots_of_things_good_at_1', 'Outdoorplay_freq_3', 'Enoughtime_toplay_1', 'Play_inall_places_0', 'Homespace_relax_No', 'Sleeptime_ytd_sin', 'Awaketime_today_cos', 'cluster_distance']",no,yes,1,0.5206456082565154,0.34788567460691083,0.3987654320987654,0.46832726309385064,0.3342842428358641,0.36026028509563335,0.5206456082565154,0.34788567460691083,0.3987654320987654,0.47929573990709545,0.33457451482324946,0.35351170568561874,0.3385308806224239,0.21066254808412554,0.2304843988005802
MutualInformation,Polynomial,LinearSVC,"{'C': 0.10104851813904453, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",no,,25,"['Life_scale', 'Tired_in_week_0', 'Going_school_I am in a different school from my own school', 'Health_scale', 'School_scale', 'Sports_in_week_0', 'Birth_Date_day_of_year_sin', 'Brush_teeth_ytd', 'Concentrate_in_week_2', 'Sugarsnack_in_week_3', 'Tired_in_week_2', 'Softdrink_in_week_3', 'Sugarsnack_in_week_0', 'Hours_slept', 'Softdrink_in_week_0', 'Softdrink_in_week_1', 'Method_of_keepintouch_Rare', 'Sugarsnack_in_week_2', 'WIMD_2019_Decile', 'Enoughtime_toplay_3', 'Lots_of_things_good_at_0', 'Number_people_household_3', 'Softdrink_in_week_2', 'Doingwell_schoolwork_4', 'Nothing_Brk']",no,yes,2,0.4466234940984295,0.32858637558249965,0.3132716049382716,0.5092099974780391,0.36936414208799323,0.2588757396449704,0.4466234940984295,0.32858637558249965,0.3132716049382716,0.4433626460077975,0.3262563507998247,0.2777071076482748,0.3060731976421575,0.12201012343503197,0.15602200933052848
BorutaShap,Polynomial,LinearSVC,"{'C': 0.3049241606512873, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",no,,109,"['Concentrate_in_week_2', 'Play_inall_places_2', 'Contact_by_visit', 'Sugarsnack_in_week_0', 'Sugarsnack_in_week_3', 'Method_of_keepintouch_By phone (texting, calling or video calling)', 'Study_Year', 'Takeawayfood_in_week_1', 'Family_scale', 'Lots_of_things_good_at_3', 'Play_inall_places_3', 'Sports_in_week_0', 'Sleeptime_ytd_hour_cos', 'Birth_Date_day_of_year_cos', 'Number_people_household_1', 'Play_inall_places_0', 'Sugary_Cereal_Brk', 'age', 'Tired_in_week_2', 'Sugarsnack_in_week_2', 'Life_scale', 'Internet_in_week_2', 'Sports_in_week_1', 'Contact_by_game', 'Timestamp_month_cos', 'Concentrate_in_week_1', 'Enoughtime_toplay_3', 'Play_in_field', 'Concentrate_in_week_3', 'Type_of_play_places_Rare', 'Type_of_play_places_In my house;In my garden', 'Birth_Date_month_cos', 'Num_Type_of_play_places', 'Birth_Date_day_of_month_cos', 'Timestamp_week_cos', 'Birth_Date_day_of_week_sin', 'WIMD_2019_Quartile', 'WIMD_2019_Rank', 'Play_in_grass_area', 'Number_people_household_4', 'Birth_Date_week_sin', 'Internet_in_week_1', 'Other_children_inhouse', 'Lots_of_choices_important_4', 'WIMD_2019_Quintile', 'Method_of_keepintouch_Rare', 'Type_of_play_places_In my garden;In my school playground', 'Sugarsnack_in_week_1', 'Takeawayfood_in_week_3', 'Num_Method_of_keepintouch', 'Feel_partof_community_2', 'Takeawayfood_in_week_2', 'Timestamp_week_sin', 'Timestamp_day_of_year_cos', 'Birth_Date_day_of_week_cos', 'Birth_Date_day_of_year_sin', 'Awaketime_today_hour_cos', 'Birth_Date_week_cos', 'Birth_Date_month_sin', 'Friends_scale', 'School_scale', 'Tired_in_week_1', 'Gender_Boy', 'Timestamp_day_of_year_sin', 'WIMD_2019_Decile', 'Takeawayfood_in_week_0', 'Breakfast_ytd_Sugary cereal e.g. cocopops, frosties, sugar puffs, chocolate cereals', 'Timestamp_day_of_week_sin', 'Softdrink_in_week_0', 'Looks_scale', 'Softdrink_in_week_1', 'Tired_in_week_3', 'Awaketime_today_sin', 'Softdrink_in_week_2', 'Number_people_household_3', 'Birth_Date_quarter_sin', 'Lots_of_things_good_at_4', 'Timestamp_day_of_week_cos', 'Play_in_bushes', 'Sleeptime_ytd_hour_sin', 'Play_in_house', 'Number_people_household_0', 'Timestamp_day_of_month_sin', 'Birth_Date_day_of_month_sin', 'Play_inall_places_1', 'Hours_slept', 'Sleeptime_ytd_cos', 'Softdrink_in_week_3', 'Birth_Date_quarter_cos', 'Gender_Girl', 'Birth_Date_year', 'Awaketime_today_cos', 'Tired_in_week_0', 'Sports_in_week_3', 'Breakfast_ytd_Rare', 'Enoughtime_toplay_2', 'Play_in_woods', 'Timestamp_day_of_month_cos', 'Feel_partof_community_3', 'Lots_of_choices_important_3', 'Awaketime_today_hour_sin', 'Brush_teeth_ytd', 'Sleeptime_ytd_sin', 'Breakfast_ytd_Cooked breakfast', 'Safety_toplay_scale', 'Sports_in_week_2', 'Health_scale', 'Number_people_household_2', 'Concentrate_in_week_0']",smoteen,yes,3,0.5268348276647662,0.30537901124141437,0.33311287477954143,0.779291541235206,0.36619365141356225,0.3544298087333093,0.5268348276647662,0.30537901124141437,0.33311287477954143,0.6015904756274538,0.3032792449735522,0.33664185277088504,0.47618064858792725,0.1348279479546805,0.09022265872298758
