Models,bal_acc_train_cv_avg,bal_acc_train_cv_std,bal_acc_val_cv_avg,bal_acc_val_cv_std,bal_acc_test_cv_avg,bal_acc_test_cv_std,precision_train_cv_avg,precision_train_cv_std,precision_val_cv_avg,precision_val_cv_std,precision_test_cv_avg,precision_test_cv_std,recall_train_cv_avg,recall_train_cv_std,recall_val_cv_avg,recall_val_cv_std,recall_test_cv_avg,recall_test_cv_std,f1_train_cv_avg,f1_train_cv_std,f1_val_cv_avg,f1_val_cv_std,f1_test_cv_avg,f1_test_cv_std,mc_train_cv_avg,mc_train_cv_std,mc_val_cv_avg,mc_val_cv_std,mc_test_cv_avg,mc_test_cv_std
LogisticRegression,0.4302029141126421,0.03508466371723887,0.3429385441839542,0.03424461222915065,0.3188026224982746,0.027142226893420187,0.5393384036195294,0.16906279994489976,0.37632938729220855,0.06070539061783121,0.3465355668606593,0.06722389271150411,0.4302029141126421,0.03508466371723887,0.3429385441839542,0.03424461222915065,0.3188026224982746,0.027142226893420187,0.4347416267572088,0.06600534581919075,0.31146319749232887,0.017406943305819902,0.3149351129990938,0.03980303056537985,0.285875627015289,0.07472689320319632,0.13545267657517127,0.012706047441744143,0.10856641570047929,0.03367635824893166
LinearSVC,0.4975231044624763,0.03810604960173227,0.3367384831006822,0.02671742489291179,0.34835710451652485,0.02843462680547475,0.5573585705651926,0.11388691086403697,0.3853758023959179,0.05038389813741006,0.3345569020817841,0.03835115393167243,0.4975231044624763,0.03810604960173227,0.3367384831006822,0.02671742489291179,0.34835710451652485,0.02843462680547475,0.4952035613835378,0.056233287792740394,0.327424497745352,0.014158445031487023,0.329346691782975,0.026507736897762205,0.3589633829566348,0.06052550954826221,0.16314600252643655,0.03160194900296134,0.17499760823919203,0.0487249777423693
KNeighborsClassifier,0.958616044065381,0.08276791186923803,0.3067995881673973,0.03182665249196524,0.2811770569741584,0.021182126631901624,0.9790378831953308,0.04192423360933817,0.3594194976641662,0.02541675638187131,0.2864684639823928,0.02896599087201983,0.958616044065381,0.08276791186923803,0.3067995881673973,0.03182665249196524,0.2811770569741584,0.021182126631901624,0.9664680888020902,0.06706382239581966,0.30075384263989685,0.02415770518248478,0.2782977099492155,0.017369277962914473,0.9555255607364644,0.08894887852707108,0.08279342829299893,0.023459985951953265,0.07422777562555896,0.04012481029532553
GaussianNB,0.3940597359497603,0.044328692640882336,0.35442106454601363,0.017363825333288944,0.31058584464381567,0.03830139376530119,0.3927718167528087,0.0227027434616929,0.369096608721818,0.015383013755573662,0.3058791600412346,0.052477469750824776,0.3940597359497603,0.044328692640882336,0.35442106454601363,0.017363825333288944,0.31058584464381567,0.03830139376530119,0.3848544024687283,0.03184827558687543,0.35400312794581307,0.013043909252866824,0.3015464004440368,0.04315078708210206,0.22389194324039058,0.03422171029541557,0.19112814546739695,0.013658781229262075,0.14650097910679072,0.03615023798449386
DecisionTreeClassifier,0.6177446355724333,0.174354092972095,0.31072309284773586,0.03655976209414337,0.29363200674794876,0.04300391200808589,0.5401098589285489,0.095906544729988,0.31515493767784564,0.022783525514214822,0.2935525502803908,0.03613074839371937,0.6177446355724333,0.174354092972095,0.31072309284773586,0.03655976209414337,0.29363200674794876,0.04300391200808589,0.5456543352351925,0.10375955516507923,0.28848843863977575,0.01878111198946103,0.2684171752693367,0.031007375685767922,0.4134820220007299,0.15016727922314702,0.07532944889139102,0.04101887301484565,0.0927528917513167,0.05159790263895348
RandomForestClassifier,0.6901856192024955,0.12223052418124769,0.37764784360357595,0.02167743254727428,0.32214400736139864,0.03744419196450733,0.527418208981821,0.1229485410828865,0.3535091986361635,0.009147472506871954,0.29725321652243375,0.028888109867540163,0.6901856192024955,0.12223052418124769,0.37764784360357595,0.02167743254727428,0.32214400736139864,0.03744419196450733,0.5709318263476241,0.13412506365995225,0.3487397657005754,0.00646341016689802,0.28940682767682613,0.03632594890724565,0.4369206994732896,0.15285671427164443,0.18654850757611025,0.020321204515771598,0.13077812824605362,0.059534448111316016
ExtraTreesClassifier,0.8539412049076265,0.16608659941147466,0.35442943370982943,0.016412210484892706,0.37300743807990183,0.042513033060777826,0.6661567031754874,0.16775589990618237,0.3342864755589622,0.020298104027701762,0.3182627149924688,0.022378858869342315,0.8539412049076265,0.16608659941147466,0.35442943370982943,0.016412210484892706,0.37300743807990183,0.042513033060777826,0.7248347712831066,0.17841285412532448,0.32953297407708343,0.015416858181807436,0.32259335763410873,0.029086547581676434,0.6374151796704294,0.2022338886537954,0.1660999257911429,0.016743312108354703,0.1776073243153516,0.061323040979208904
AdaBoostClassifier,0.38023768673304714,0.06519798516880325,0.3095185638514892,0.017893885242876627,0.29531017560003064,0.023452727082365087,0.4967396165729193,0.09642484039279643,0.36496853285429187,0.015812223267917966,0.3790007952753395,0.09776135289392213,0.38023768673304714,0.06519798516880325,0.3095185638514892,0.017893885242876627,0.29531017560003064,0.023452727082365087,0.3970986973330207,0.07339345476247566,0.3156990992076595,0.013934310149966636,0.2985790735180864,0.02955595928964595,0.22534684665471985,0.07180810804114386,0.13127695275421514,0.008221325946015774,0.1315605921377881,0.07463944958475494
GradientBoostingClassifier,0.7771045212217952,0.10094549307871782,0.3823654075724659,0.02996509631040145,0.25621693121693123,0.012433862433862441,0.5826853729288174,0.06690797455133933,0.36021808778194275,0.02249850322081646,0.22437702612509533,0.027086927248879695,0.7771045212217952,0.10094549307871782,0.3823654075724659,0.02996509631040145,0.25621693121693123,0.012433862433862441,0.6354517948556356,0.0796619881679996,0.3474744530974506,0.011419534029727577,0.23804810106990942,0.01859223213655964,0.5218020596606039,0.08794305687483966,0.18351589955432096,0.02869121230706847,0.050858291511620135,0.07075082197946005
XGBClassifier,0.6466194614224194,0.06997314444718697,0.3738012291628163,0.023112634155185142,0.25635610766045547,0.01271221532091098,0.5285589732796889,0.0759434506082478,0.3595749825764687,0.02166322061046998,0.24437047252001437,0.06696824973655065,0.6466194614224194,0.06997314444718697,0.3738012291628163,0.023112634155185142,0.25635610766045547,0.01271221532091098,0.5390796634546285,0.05451946215638803,0.33954200796274797,0.008163918428317566,0.23985216878225352,0.022137456765943392,0.42453298078194346,0.05863420478088699,0.174375731105138,0.015263174845540989,0.03637308514549354,0.07274617029098708
LGBMClassifier,0.42585175333500064,0.060681873996402964,0.2897736983916095,0.015131614520021914,0.28224177593742816,0.03903434605290832,0.5640106945140955,0.2121746289194954,0.30739692742459984,0.05626552120434979,0.29113432869181033,0.07032072181149326,0.42585175333500064,0.060681873996402964,0.2897736983916095,0.015131614520021914,0.28224177593742816,0.03903434605290832,0.4218244979116683,0.043531234266287945,0.2782789963544588,0.02375674611758527,0.27192851670649537,0.03281182981317846,0.27645117573176003,0.09718131683056018,0.08031369592292895,0.04264997897080406,0.10003398516696949,0.07005149751069924
