number,value,datetime_start,datetime_complete,duration,params_balancing,params_ccp_alpha,params_class_weight,params_contrast_method,params_feature_selection,params_n_estimators,params_n_jobs,params_number_features,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.2648255021613209,2022-10-19 09:24:52.440336,2022-10-19 09:24:57.896448,0 days 00:00:05.456112,no,0.06779555482085757,balanced_subsample,Helmert,FeatureWiz,100,2,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=RandomForestClassifier(ccp_alpha=0.06779555482085757,
                                                                          class_weight='balanced_subsample',
                                                                          n_jobs=2,
                                                                          random_state=120)))])",no,no,Helmert,,FeatureWiz,,no,0.5320033932277176,0.3671846171193098,0.2463200511346242,0.3718206322815627,0.5320033932277176,0.3560185185185185,0.2648255021613209,0.12265367014209298,0.30349822964791945,0.3560185185185185,COMPLETE
1,0.29587967184364755,2022-10-19 09:24:58.067043,2022-10-19 09:25:03.419816,0 days 00:00:05.352773,no,0.05954774279919228,balanced,Polynomial,FeatureWiz,100,2,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=RandomForestClassifier(ccp_alpha=0.05954774279919228,
                                                                          class_weight='balanced',
                                                                          n_jobs=2,
                                                                          random_state=120)))])",no,no,Polynomial,,FeatureWiz,,no,0.5127595003701072,0.3851951052956603,0.23130835024746874,0.3966959631758003,0.5127595003701072,0.36335754869516595,0.29587967184364755,0.1281002409834944,0.3298859695097168,0.36335754869516595,COMPLETE
2,0.2534586974976106,2022-10-19 09:25:03.573877,2022-10-19 09:25:06.084028,0 days 00:00:02.510151,no,0.07102534684712332,balanced_subsample,Helmert,ANOVA,100,2,23.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=RandomForestClassifier(ccp_alpha=0.07102534684712332,
                                                                          class_weight='balanced_subsample',
                                                                          n_jobs=2,
                                                                          random_state=120),
                                             number=23))])",no,no,Helmert,,ANOVA,23.0,no,0.5065301459522605,0.34446860741076285,0.23673986776655984,0.37291053852082734,0.5065301459522605,0.3751295767411638,0.2534586974976106,0.10385867514392999,0.3269871429464886,0.3751295767411638,COMPLETE
3,0.024724761349186646,2022-10-19 09:25:06.240746,2022-10-19 09:25:11.323373,0 days 00:00:05.082627,smoteen,0.0786534614264168,balanced_subsample,Sum,FeatureImportance_ET,100,2,14.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=RandomForestClassifier(ccp_alpha=0.0786534614264168,
                                                                          class_weight='balanced_subsample',
                                                                          n_jobs=2,
                                                                          random_state=120),
                                             number=14))])",smoteen,no,Sum,,FeatureImportance_ET,14.0,no,0.2655690294590083,0.04566047948496662,0.007427766156972943,0.19999153935682626,0.2655690294590083,0.22800925925925927,0.024724761349186646,-0.017674165166043355,0.013853031939045198,0.22800925925925927,COMPLETE
4,0.3439309851354799,2022-10-19 09:25:11.482254,2022-10-19 09:25:14.027548,0 days 00:00:02.545294,no,0.023982353401981737,balanced_subsample,Sum,ANOVA,100,2,21.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=RandomForestClassifier(ccp_alpha=0.023982353401981737,
                                                                          class_weight='balanced_subsample',
                                                                          n_jobs=2,
                                                                          random_state=120),
                                             number=21))])",no,no,Sum,,ANOVA,21.0,no,0.7010935783247666,0.5859066698916701,0.426007317601901,0.5647047897110936,0.7010935783247666,0.39164305574444297,0.3439309851354799,0.171996262664961,0.3405199764210424,0.39164305574444297,COMPLETE
5,0.05861252826830323,2022-10-19 09:25:14.186257,2022-10-19 09:25:31.746512,0 days 00:00:17.560255,smoteen,0.02106551571630424,balanced_subsample,Backward Difference,Lasso,100,2,25.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=RandomForestClassifier(ccp_alpha=0.02106551571630424,
                                                                          class_weight='balanced_subsample',
                                                                          n_jobs=2,
                                                                          random_state=120),
                                             number=25))])",smoteen,no,Backward Difference,,Lasso,25.0,no,0.37863736419733646,0.17702152425973905,0.06997191991922037,0.3466338816651467,0.37863736419733646,0.19797767728969282,0.05861252826830323,-0.016161389718830268,0.1575907610811421,0.19797767728969282,COMPLETE
6,0.029245364784306335,2022-10-19 09:25:31.915204,2022-10-19 09:25:37.950632,0 days 00:00:06.035428,smoteen,0.04738402156342736,balanced,Sum,MutualInformation,100,2,12.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=RandomForestClassifier(ccp_alpha=0.04738402156342736,
                                                                          class_weight='balanced',
                                                                          n_jobs=2,
                                                                          random_state=120),
                                             number=12))])",smoteen,no,Sum,,MutualInformation,12.0,no,0.2463765581638688,0.03350093700569544,-0.008789046496806122,0.1617985050655118,0.2463765581638688,0.22930880441845355,0.029245364784306335,-0.013016016851783765,0.10652274694305262,0.22930880441845355,COMPLETE
7,0.24530938909585656,2022-10-19 09:25:38.107850,2022-10-19 09:25:45.830206,0 days 00:00:07.722356,smoteen,0.017330667004672673,balanced,Polynomial,FeatureWiz,100,2,,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=RandomForestClassifier(ccp_alpha=0.017330667004672673,
                                                                          class_weight='balanced',
                                                                          n_jobs=2,
                                                                          random_state=120)))])",smoteen,no,Polynomial,,FeatureWiz,,no,0.45705608174814544,0.418882613452839,0.2108244990395591,0.5084314270993929,0.45705608174814544,0.2949863623313236,0.24530938909585656,0.06294660111852085,0.2875794594957816,0.2949863623313236,COMPLETE
8,0.12607864194389806,2022-10-19 09:25:46.012608,2022-10-19 09:25:51.049310,0 days 00:00:05.036702,smoteen,0.002101327164955569,balanced_subsample,Sum,FeatureImportance_ET,100,2,16.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=RandomForestClassifier(ccp_alpha=0.002101327164955569,
                                                                          class_weight='balanced_subsample',
                                                                          n_jobs=2,
                                                                          random_state=120),
                                             number=16))])",smoteen,no,Sum,,FeatureImportance_ET,16.0,no,0.2763007287859717,0.13699595233158837,0.03194764444460412,0.23431247284813436,0.2763007287859717,0.25044681309216194,0.12607864194389806,0.003034923489654579,0.22886418445787707,0.25044681309216194,COMPLETE
9,0.31234806626816797,2022-10-19 09:25:51.199656,2022-10-19 09:26:09.440303,0 days 00:00:18.240647,no,0.03817090989782523,balanced_subsample,Sum,BorutaShap,100,2,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=RandomForestClassifier(ccp_alpha=0.03817090989782523,
                                                                          class_weight='balanced_subsample',
                                                                          n_jobs=2,
                                                                          random_state=120)))])",no,no,Sum,,BorutaShap,,no,0.5057685871643097,0.39453510318893753,0.2416844580503191,0.3692370691334048,0.5057685871643097,0.341525284464391,0.31234806626816797,0.15850007941128838,0.32802322053295735,0.341525284464391,COMPLETE
