number,value,datetime_start,datetime_complete,duration,params_alpha,params_balancing,params_booster,params_colsample_bytree,params_contrast_method,params_eta,params_eval_metric,params_feature_selection,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_num_round,params_number_features,params_objective,params_rate_drop,params_single_precision_histogram,params_subsample,params_tree_method,params_verbosity,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.2080171869690295,2022-10-19 11:00:00.836294,2022-10-19 11:00:20.707319,0 days 00:00:19.871025,36.58201619571843,smoteen,gbtree,0.5756230914160778,Backward Difference,0.2728673568062522,aucpr,Lasso,1.2529078326418606,867.5657456630031,10,6.934884882255505,100,16.0,binary:logistic,,True,0.7531923985828232,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=867.5657456630031,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=10,
                                                                 max_leaves=None,
                                                                 min_child_weight=6.934884882255505,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=16))])",smoteen,no,Backward Difference,,Lasso,16.0,no,0.4908726397224339,0.36836513388698844,0.195914039255316,0.3727668453051418,0.4908726397224339,0.31738897926423426,0.2080171869690295,0.04467238946507623,0.26214413160450256,0.31738897926423426,COMPLETE
1,0.18314650272227706,2022-10-19 11:00:20.877264,2022-10-19 11:00:40.245747,0 days 00:00:19.368483,0.2998278320976228,no,gbtree,0.8180457691764822,Backward Difference,0.14547820363478853,aucpr,BorutaShap,2.473300242012974,0.8845190447912308,1,64.79839508949989,100,,binary:logistic,,True,0.9816648291933787,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                                                 gpu_id=None,
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=0.8845190447912308,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=1,
                                                                 max_leaves=None,
                                                                 min_child_weight=64.79839508949989,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...)))])",no,no,Backward Difference,,BorutaShap,,no,0.3554290394911179,0.21350024833152145,0.12397732882632269,0.2130145723787881,0.3554290394911179,0.2875168690958165,0.18314650272227706,0.07435738024433683,0.18307457583350864,0.2875168690958165,COMPLETE
2,0.22859158516980416,2022-10-19 11:00:40.416418,2022-10-19 11:01:29.543074,0 days 00:00:49.126656,36.039968249365174,no,dart,0.8069034650101861,Backward Difference,0.33517750842786503,aucpr,FeatureImportance_ET,6.45416018719052,1.4719134755714305,5,0.18086110921005494,100,25.0,binary:logistic,0.006713737181823131,True,0.6239137083031452,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=1.4719134755714305,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=5,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.18086110921005494,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=25))])",no,no,Backward Difference,,FeatureImportance_ET,25.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
3,0.24934786965683717,2022-10-19 11:01:29.712950,2022-10-19 11:01:34.440136,0 days 00:00:04.727186,0.7039313338109634,no,gbtree,0.8398046924469257,Helmert,0.1163931725940201,aucpr,FeatureImportance_ET,0.10358362648877652,0.22084789574957864,4,0.499053402636082,100,3.0,binary:logistic,,True,0.752009252760742,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=0.22084789574957864,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=4,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.499053402636082,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=3))])",no,no,Helmert,,FeatureImportance_ET,3.0,no,0.7525334312040833,0.5133585687512081,0.4039703528345946,0.4655227569601748,0.7525334312040833,0.2719668174278537,0.24934786965683717,0.08187189476783369,0.26856385002325617,0.2719668174278537,COMPLETE
4,0.24354520012502787,2022-10-19 11:01:34.602134,2022-10-19 11:01:54.679636,0 days 00:00:20.077502,2.6394938042194647,no,dart,0.5481390983549954,Backward Difference,0.13527225939740295,aucpr,ANOVA,4.148762326769556,179.60496801902553,3,40.188011769867735,100,8.0,binary:logistic,0.6476545523889669,True,0.9699485542260512,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=179.60496801902553,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=3,
                                                                 max_leaves=None,
                                                                 min_child_weight=40.188011769867735,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=8))])",no,no,Backward Difference,,ANOVA,8.0,no,0.46629944706203547,0.33705367633280875,0.22440790971296665,0.3404112852535266,0.46629944706203547,0.31427658749670173,0.24354520012502787,0.08457287756223762,0.26516769488748987,0.31427658749670173,COMPLETE
5,0.12089737058743523,2022-10-19 11:01:54.861232,2022-10-19 11:02:02.094329,0 days 00:00:07.233097,1.1780751095000568,smoteen,gbtree,0.8472520572527735,Backward Difference,0.36074660228880784,aucpr,MutualInformation,0.7748297307477117,95.97181607200149,9,11.309911904280387,100,8.0,binary:logistic,,True,0.883063726342064,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=95.97181607200149,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=9,
                                                                 max_leaves=None,
                                                                 min_child_weight=11.309911904280387,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=8))])",smoteen,no,Backward Difference,,MutualInformation,8.0,no,0.3645407286072427,0.19630229747801228,0.0876841167586001,0.24244394517314186,0.3645407286072427,0.2673339113287094,0.12089737058743523,-0.004301755486755164,0.175969996184323,0.2673339113287094,COMPLETE
6,0.08058219887032221,2022-10-19 11:02:02.272899,2022-10-19 11:02:53.577395,0 days 00:00:51.304496,5.380422510532738,smoteen,dart,0.7134135651309252,Helmert,0.10403245945744187,aucpr,ANOVA,3.3801860079761163,2.2064683326116388,10,0.6618343872576353,100,13.0,binary:logistic,0.003751244110995145,True,0.5877125399766212,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=2.2064683326116388,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=10,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.6618343872576353,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=13))])",smoteen,no,Helmert,,ANOVA,13.0,no,0.3627955490277191,0.1612495365621011,0.1205792793815551,0.22557595654858598,0.3627955490277191,0.2888175839037732,0.08058219887032221,0.018371101899481903,0.18580587366292153,0.2888175839037732,COMPLETE
7,0.25406520257803183,2022-10-19 11:02:53.715769,2022-10-19 11:03:12.010106,0 days 00:00:18.294337,8.61444620627157,no,gbtree,0.7344659125841444,Helmert,0.4024311383591036,aucpr,BorutaShap,1.731504659578251,0.1577264532000003,5,0.22909901461932,100,,binary:logistic,,True,0.8918098657195069,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                                                 gpu_id=None,
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=0.1577264532000003,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=5,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.22909901461932,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...)))])",no,no,Helmert,,BorutaShap,,no,0.4501270043534101,0.3341318850943084,0.20476879081032673,0.34118889007705616,0.4501270043534101,0.31218144870225656,0.25406520257803183,0.12855806701526581,0.2802103677497964,0.31218144870225656,COMPLETE
8,0.08003002866155534,2022-10-19 11:03:12.149054,2022-10-19 11:03:19.043497,0 days 00:00:06.894443,2.1841132223058732,smoteen,gbtree,0.9824329668514368,Polynomial,0.38798912708632727,aucpr,MutualInformation,18.678646917086596,2.666273763075713,6,0.7139506747713724,100,19.0,binary:logistic,,True,0.5706704498258072,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=2.666273763075713,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=6,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.7139506747713724,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=19))])",smoteen,no,Polynomial,,MutualInformation,19.0,no,0.377017837520516,0.18292781502482292,0.12717797950847085,0.21979608440079423,0.377017837520516,0.27104997262586,0.08003002866155534,-0.0031189121925953947,0.14578234077390892,0.27104997262586,COMPLETE
9,0.22859158516980416,2022-10-19 11:03:19.230332,2022-10-19 11:03:25.503982,0 days 00:00:06.273650,66.4886447365745,no,gbtree,0.659840434684122,Polynomial,0.12183706752334003,aucpr,FeatureWiz,0.403039241425441,26.47305602241626,2,939.5319758580657,100,,binary:logistic,,True,0.7639828208683175,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                                                 gpu_id=None,
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=26.47305602241626,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=2,
                                                                 max_leaves=None,
                                                                 min_child_weight=939.5319758580657,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...)))])",no,no,Polynomial,,FeatureWiz,,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
